timestamp,amb_temp_c,relative_humidity,ghi,dni,dhi,IR(h),wind_speed_m_s,WD10m,SP
20220106:0700,24.68,93.15,238.3,597.89,103.6,406.4,1.03,69,100990
20220106:0800,25.86,90.2,453.5,718.8,134.8,406.4,0.83,87,101060
20220106:0900,27.21,79.35,670.95,857.05,132.45,396.95,0.48,136,101090
20220106:1000,28.54,74.4,805.2,862.98,142.85,391.9,0.97,178,101060
20220106:1100,29.63,65.5,869.2,847.06,147.95,398.1,1.66,186,101020
20220106:1200,30.44,63.5,857.9,812.71,147.2,402.35,2.48,188,100930
20220106:1300,30.96,59.55,772.6,757.04,140.5,405.65,3.03,190,100870
20220106:1400,31.06,59.55,621.6,671.62,127.55,407.4,3.59,193,100790
20220106:1500,30.87,59.55,422.25,541.23,106.6,407,4,195,100760
20220106:1600,30.36,61.45,201.8,332.11,72.9,405.05,4.21,197,100730
20220106:1700,29.6,65.5,29.05,76.38,16.55,401.75,4.21,200,100760
20220106:1800,28.7,69.75,0,0,0,396.15,4.07,198,100830
20220106:1900,28.18,74.4,0,0,0,392.1,4.41,194,100930
20220106:2000,27.86,74.4,0,0,0,389.55,4.62,196,101010
20220106:2100,27.61,74.4,0,0,0,388.4,4.9,198,101070
20220106:2200,27.45,79.35,0,0,0,388.6,5.1,201,101060
20220106:2300,27.29,79.35,0,0,0,389.2,5.17,206,101040
20220107:0000,27.14,79.35,0,0,0,388.8,5.1,211,100970
20220107:0100,27.03,84.6,0,0,0,389.1,4.76,218,100920
20220107:0200,26.93,84.6,0,0,0,389,4.28,229,100870
20220107:0300,26.84,84.6,0,0,0,389.55,3.79,238,100870
20220107:0400,26.7,84.6,0,0,0,390.55,2.97,244,100860
20220107:0500,26.27,87.35,0,0,0,390.95,2,253,100920
20220107:0600,25.83,90.2,0,0,0,400.6,1.79,286,101000
20220107:0700,26.42,87.35,206.25,507.7,92.45,407.2,1.59,280,101050
20220107:0800,27.48,81.95,381.85,511.85,155.3,423.05,2.14,316,101120
20220107:0900,28.17,76.85,552.9,594.83,179.35,426.55,1.66,312,101160
20220107:1000,29.02,74.5,706.5,666.17,195.1,422.45,1.03,271,101140
20220107:1100,29.72,69.95,821.65,748.96,183.45,431.95,1.45,211,101090
20220107:1200,30.49,65.6,794.65,727.52,157.65,419.2,2.76,197,100990
20220107:1300,30.72,63.6,692.9,614.44,178.95,420.35,3.72,202,100900
20220107:1400,30.53,67.8,563.65,587.52,130.4,422.45,4.14,208,100840
20220107:1500,30.19,67.8,390.9,489.91,104.2,424.4,4.41,213,100780
20220107:1600,29.67,69.95,198.4,319.44,73.75,417.25,4.48,217,100780
20220107:1700,29.04,76.95,29.45,74.53,17.1,412.6,4.34,220,100820
20220107:1800,28.26,79.4,0,0,0,407.75,3.93,223,100870
20220107:1900,27.91,82.05,0,0,0,407.75,3.93,218,100930
20220107:2000,27.61,82.05,0,0,0,404.1,3.93,210,101000
20220107:2100,27.43,84.65,0,0,0,404.45,4,201,101020
20220107:2200,27.26,84.65,0,0,0,401.95,4.21,198,101020
20220107:2300,27.11,84.65,0,0,0,402.35,4.48,198,100960
20220108:0000,27.02,87.4,0,0,0,402.15,4.62,205,100910
20220108:0100,26.91,87.4,0,0,0,402.05,4.28,221,100870
20220108:0200,26.81,87.4,0,0,0,401.95,3.72,240,100830
20220108:0300,26.72,87.4,0,0,0,407.95,2.69,252,100850
20220108:0400,26.62,87.4,0,0,0,422.65,1.79,260,100880
20220108:0500,26.48,87.35,0,0,0,425.2,1.59,270,100920
20220108:0600,26.25,87.35,0,0,0,418.8,2,281,100970
20220108:0700,26.57,84.6,199.65,522.3,83.15,415.9,2.28,292,101060
20220108:0800,27.51,81.95,353.5,436.3,160.7,422.1,2.76,281,101130
20220108:0900,28.43,74.4,507.25,548.33,163.05,423.45,2.34,262,101190
20220108:1000,29.23,69.85,650.7,584.01,202.25,429.45,2.41,239,101200
20220108:1100,29.9,67.7,776.6,703.14,176.95,425.2,2.97,226,101120
20220108:1200,30.23,65.6,721.15,606.52,189.4,425.95,3.66,223,101040
20220108:1300,30.43,65.6,607.3,524.05,168.15,434.3,4.14,224,100930
20220108:1400,30.46,65.6,555.45,563.74,138.7,434.65,4.48,224,100850
20220108:1500,30.19,65.6,373.55,445.13,112.15,431.75,4.83,229,100800
20220108:1600,29.73,69.95,185.7,287.01,73.1,432.15,4.83,231,100770
20220108:1700,29.17,72.15,29.25,73.32,16.95,419.4,4.41,226,100780
20220108:1800,28.45,79.4,0,0,0,416.45,4.21,223,100820
20220108:1900,28.18,79.4,0,0,0,412,4.21,212,100870
20220108:2000,27.91,82.05,0,0,0,409.5,3.93,217,100940
20220108:2100,27.73,82.05,0,0,0,412.4,4.07,220,100950
20220108:2200,27.57,82.05,0,0,0,409.5,4.34,220,100940
20220108:2300,27.44,84.65,0,0,0,410.65,4.41,221,100910
20220109:0000,27.29,84.65,0,0,0,406,4.34,218,100880
20220109:0100,27.17,84.65,0,0,0,405.55,4.14,218,100850
20220109:0200,27.14,87.45,0,0,0,407.95,3.52,223,100850
20220109:0300,27.02,90.25,0,0,0,408.35,2.62,233,100880
20220109:0400,26.82,90.25,0,0,0,414.15,2.14,252,100920
20220109:0500,26.24,90.25,0,0,0,418.6,2.21,275,100960
20220109:0600,26.03,93.2,0,0,0,419.2,2.9,288,100990
20220109:0700,26.67,87.4,187.35,412.16,95.85,433.9,3.24,294,101080
20220109:0800,27.45,81.95,415.1,614.07,144.15,422.45,3.38,285,101140
20220109:0900,28.43,79.4,645.2,781.01,155.1,413.95,3.03,283,101160
20220109:1000,29.46,72.15,744.25,754.08,165,416.85,2.55,274,101150
20220109:1100,30.22,65.6,818.85,776.15,156.35,420.35,2.41,249,101080
20220109:1200,30.81,61.55,735.55,666.34,150.55,416.45,3.1,225,100960
20220109:1300,31.02,61.55,767.25,731.26,153.3,421.1,3.86,211,100850
20220109:1400,31.33,59.65,605.35,640.1,130.95,418.8,4.55,204,100750
20220109:1500,31.18,61.65,399.1,490.5,110.05,415.9,5.52,202,100690
20220109:1600,30.19,70,204,331.75,73.15,419.2,5.93,203,100660
20220109:1700,29.05,79.5,30.3,75.09,17.55,414.75,5.72,208,100690
20220109:1800,28.17,82.05,0,0,0,411.05,5.72,203,100740
20220109:1900,27.92,82.05,0,0,0,395.95,5.1,191,100790
20220109:2000,27.63,82.05,0,0,0,394.4,4.9,200,100830
20220109:2100,27.43,84.65,0,0,0,394.6,4.41,215,100840
20220109:2200,27.18,84.65,0,0,0,390.35,4.14,230,100800
20220109:2300,26.95,87.4,0,0,0,387.85,3.79,232,100750
20220110:0000,26.8,87.4,0,0,0,387.05,3.1,229,100760
20220110:0100,26.56,87.4,0,0,0,389.7,2.41,218,100780
20220110:0200,26.45,90.25,0,0,0,393.45,2.62,200,100800
20220110:0300,26.59,87.4,0,0,0,409.9,2.9,201,100780
20220110:0400,26.69,87.4,0,0,0,426.35,2.69,214,100770
20220110:0500,26.65,87.4,0,0,0,422.65,2.34,238,100790
20220110:0600,26.58,87.4,0,0,0,426.75,2.21,257,100830
20220110:0700,25.95,90.2,190.9,402.71,101.9,421.9,2.14,312,100890
20220110:0800,26.67,84.6,412.7,624.67,137.45,422.3,2,312,100970
20220110:0900,27.69,76.85,604.2,670.81,183.35,416.3,1.38,283,100980
20220110:1000,28.68,72.1,720.45,683.15,195.45,409.3,1.38,242,100970
20220110:1100,29.55,69.85,824.9,744.16,189.1,410.3,1.93,218,100920
20220110:1200,30.43,63.5,850.7,792.38,154.05,418.8,2.9,206,100860
20220110:1300,31,61.55,755.85,693.11,172.8,413,3.86,200,100770
20220110:1400,30.9,61.55,583.8,601.04,137.2,415.1,4.41,198,100700
20220110:1500,30.42,65.6,408.1,509.91,106.55,418.6,4.62,201,100670
20220110:1600,29.8,69.95,201.75,319.26,75.15,416.3,5.03,204,100660
20220110:1700,29.01,74.5,30.05,76.24,16.95,413.55,4.76,207,100690
20220110:1800,28.25,76.85,0,0,0,411.65,4.48,206,100730
20220110:1900,27.96,76.85,0,0,0,405.25,3.38,205,100810
20220110:2000,27.71,76.85,0,0,0,408.35,3.59,205,100860
20220110:2100,27.57,79.4,0,0,0,411.45,4.34,206,100910
20220110:2200,27.53,81.95,0,0,0,423.65,5.1,206,100890
20220110:2300,27.29,81.95,0,0,0,406.6,5.24,207,100850
20220111:0000,27.18,81.95,0,0,0,407.75,5.03,208,100840
20220111:0100,27.06,81.95,0,0,0,404.6,4.41,213,100810
20220111:0200,27,84.6,0,0,0,406.8,3.66,226,100790
20220111:0300,26.92,84.6,0,0,0,418.4,2.97,244,100790
20220111:0400,26.82,84.6,0,0,0,419.75,2.55,260,100800
20220111:0500,26.65,84.6,0,0,0,412.2,2.48,273,100840
20220111:0600,26.55,84.6,0,0,0,422.3,2.55,286,100890
20220111:0700,26.36,87.35,152.25,239.94,99.45,424.4,2.48,320,100970
20220111:0800,27.07,81.95,361.7,480.02,150.45,425.95,2.07,319,101010
20220111:0900,27.95,76.85,610,713.23,162.6,413.95,1.38,312,101010
20220111:1000,29.04,74.5,752,777.29,154.35,417.05,0.76,278,101010
20220111:1100,29.91,67.7,739.4,641.91,190.4,417.25,1.45,213,100960
20220111:1200,30.44,65.6,719.85,651.8,145.95,427.7,2.41,207,100890
20220111:1300,30.72,63.6,700.15,647.43,154.45,431,3.1,211,100790
20220111:1400,30.83,63.6,617.6,644.31,137.6,429.45,4,209,100700
20220111:1500,30.4,65.6,368.85,427.99,114.85,422.85,4.62,208,100650
20220111:1600,29.89,69.95,188.6,268.26,81.65,431.55,4.97,211,100670
20220111:1700,29.18,74.55,30.85,62.4,20,422.65,4.83,216,100740
20220111:1800,28.44,82.05,0,0,0,416.1,4.21,222,100810
20220111:1900,28.13,79.4,0,0,0,413.75,4.14,224,100920
20220111:2000,27.87,79.4,0,0,0,410.65,4.14,224,100990
20220111:2100,27.72,79.4,0,0,0,409.1,4.21,220,101050
20220111:2200,27.65,82.05,0,0,0,415.1,4.41,216,101020
20220111:2300,27.57,82.05,0,0,0,409.7,4.55,216,100980
20220112:0000,27.56,82.05,0,0,0,414.9,4.14,219,100970
20220112:0100,27.54,84.65,0,0,0,412.9,3.45,227,100940
20220112:0200,27.42,84.65,0,0,0,410.1,2.9,238,100930
20220112:0300,27.23,84.65,0,0,0,410.1,2.69,245,100930
20220112:0400,26.69,87.4,0,0,0,410.85,2.48,249,100950
20220112:0500,26.65,87.4,0,0,0,411.65,2.28,242,101000
20220112:0600,26.51,87.35,0,0,0,416.1,2.14,233,101050
20220112:0700,27.08,84.65,244.3,738.04,82.55,409.3,1.93,239,101110
20220112:0800,28.34,79.4,416.2,625.34,141.3,406,2.62,232,101180
20220112:0900,29.2,74.55,596.1,693.73,160.95,412.8,2.9,232,101210
20220112:1000,29.99,69.95,751.75,759.02,167.8,423.65,3.1,234,101180
20220112:1100,30.81,65.7,796.9,732.91,169.4,424.4,3.59,222,101120
20220112:1200,31.2,61.65,695.65,523.28,234.2,429.05,4.34,208,101060
20220112:1300,31.16,63.7,655.8,536.24,202.9,445.5,5.03,203,100970
20220112:1400,30.97,65.7,495,431.76,172.5,436,5.45,204,100910
20220112:1500,30.42,67.8,359.25,391.72,125.95,441.05,5.86,206,100870
20220112:1600,29.87,69.95,195.25,283.68,81.55,442,5.86,211,100860
20220112:1700,29.35,74.55,30.6,75.61,17.3,429.05,5.52,216,100910
20220112:1800,28.65,76.95,0,0,0,419.75,4.97,219,100950
20220112:1900,28.31,79.4,0,0,0,419.55,4.69,217,101090
20220112:2000,28.13,82.05,0,0,0,424.8,4.9,216,101130
20220112:2100,27.94,82.05,0,0,0,420.75,5.17,215,101160
20220112:2200,27.76,82.05,0,0,0,422.1,5.52,221,101130
20220112:2300,27.52,87.45,0,0,0,419.2,5.86,223,101080
20220113:0000,27.35,87.45,0,0,0,418,5.79,223,101070
20220113:0100,27.18,87.45,0,0,0,417.55,5.52,224,101050
20220113:0200,27.14,87.45,0,0,0,430.2,5.24,227,101020
20220113:0300,26.95,90.25,0,0,0,421.3,4.83,232,101020
20220113:0400,26.11,87.35,0,0,0,423.45,3.66,246,101050
20220113:0500,26.41,87.35,0,0,0,429.65,3.17,247,101110
20220113:0600,25.91,87.3,0,0,0,422.85,2.83,265,101190
20220113:0700,26.49,90.25,170,305.06,103.4,420.35,2.14,274,101230
20220113:0800,26.91,87.4,336.9,390.28,165.5,426.9,1.79,252,101330
20220113:0900,27.62,82.05,446.85,352.95,225.45,424.4,0.9,211,101360
20220113:1000,27.76,82.05,501.2,304.41,266.85,431,2.41,161,101350
20220113:1100,27.87,79.4,490.85,282.21,248.95,443.95,3.93,166,101320
20220113:1200,27.42,79.35,518.1,272.01,277.85,449.35,3.93,182,101260
20220113:1300,27.64,76.85,470.7,198.03,303.1,437.95,4.28,202,101180
20220113:1400,27.96,76.85,392.15,228.79,220.8,432.55,4.41,213,101100
20220113:1500,28.27,74.4,231.4,79.72,183.75,434.3,4.76,212,101060
20220113:1600,28.13,76.85,107.45,34.5,93.55,444.9,4.83,213,101070
20220113:1700,27.73,76.85,22.75,18.27,19.5,448.8,4.76,218,101130
20220113:1800,27.34,79.35,0,0,0,437.95,4.55,224,101180
20220113:1900,27.31,79.35,0,0,0,431,4,220,101210
20220113:2000,27.11,79.35,0,0,0,421.3,4.28,217,101250
20220113:2100,27.04,81.9,0,0,0,423.45,4.41,221,101280
20220113:2200,26.96,81.9,0,0,0,419.55,4.14,225,101250
20220113:2300,26.89,81.9,0,0,0,417.25,3.52,231,101220
20220114:0000,26.78,81.9,0,0,0,412,2.48,232,101240
20220114:0100,26.55,81.9,0,0,0,417.75,1.93,220,101200
20220114:0200,26.44,84.55,0,0,0,422.85,1.86,212,101120
20220114:0300,26.39,84.55,0,0,0,421.7,1.93,217,101110
20220114:0400,26.19,84.55,0,0,0,410.45,1.93,223,101090
20220114:0500,26.06,84.55,0,0,0,418,1.79,232,101160
20220114:0600,25.75,90.2,0,0,0,414.15,1.59,247,101210
20220114:0700,26.39,87.35,192.7,433.05,98.5,411.65,1.79,258,101250
20220114:0800,27.4,79.35,359,451.92,160.7,411.25,1.93,233,101350
20220114:0900,28.17,76.85,520.8,496.43,209.35,416.1,2.21,226,101390
20220114:1000,28.83,74.5,752.75,768.92,160.35,430.4,2.14,239,101370
20220114:1100,29.72,67.7,816.25,736.2,184.45,413.75,2.14,237,101290
20220114:1200,30.34,65.6,830.75,752.92,164.65,413.4,2.9,217,101220
20220114:1300,30.75,61.55,714.85,672.37,144.6,420.9,3.79,203,101120
20220114:1400,30.89,61.55,628.3,665.01,128.9,418.6,4.69,193,101050
20220114:1500,29.56,69.85,352.7,396.1,115.1,416.3,4.55,194,101040
20220114:1600,29,76.95,186.25,283.65,71.35,423.85,4.62,197,101020
20220114:1700,28.73,76.95,34.15,78.92,19.95,417.05,4.83,204,101050
20220114:1800,28.3,79.4,0,0,0,414.55,4.69,214,101090
20220114:1900,28.03,76.85,0,0,0,409.1,4.41,209,101150
20220114:2000,27.77,76.85,0,0,0,406.4,4.48,211,101190
20220114:2100,27.5,81.95,0,0,0,405.25,4.48,215,101200
20220114:2200,27.25,81.95,0,0,0,403.9,4.41,220,101190
20220114:2300,27.06,84.65,0,0,0,402.15,4.34,222,101180
20220115:0000,26.91,87.4,0,0,0,400.6,4.07,223,101150
20220115:0100,26.8,87.4,0,0,0,400.3,4,227,101120
20220115:0200,26.68,87.4,0,0,0,403.9,3.93,229,101050
20220115:0300,26.68,87.4,0,0,0,409.7,3.52,235,101040
20220115:0400,26.6,87.4,0,0,0,413.75,2.97,249,101040
20220115:0500,26.32,90.25,0,0,0,417.05,2.76,261,101090
20220115:0600,26.16,90.25,0,0,0,413.2,2.83,271,101170
20220115:0700,26.14,90.25,212.35,580.98,86.4,414.15,3.03,294,101210
20220115:0800,27,84.6,422,679.39,124.1,414.9,3.17,288,101280
20220115:0900,27.97,79.4,601.4,692.96,166.55,412,2.55,284,101310
20220115:1000,28.86,74.5,680.8,603.52,215.45,421.3,2.07,269,101250
20220115:1100,29.54,72.15,753.2,561.58,270.65,420.15,2.41,241,101160
20220115:1200,30.08,65.6,810.3,629.27,252.65,420.9,3.45,223,101100
20220115:1300,30.52,65.6,712.45,562.46,234.4,415.7,4.28,214,100990
20220115:1400,30.61,63.6,554,448.2,216.5,421.1,4.69,215,100880
20220115:1500,30.24,67.8,372.6,365.2,152.75,427.9,5.1,220,100830
20220115:1600,29.43,74.55,194.5,231.33,100.3,419.55,5.17,229,100800
20220115:1700,28.77,79.5,31.55,48.65,22.7,417.05,5.24,230,100810
20220115:1800,28.14,82.05,0,0,0,412.4,5.1,227,100870
20220115:1900,28.07,76.85,0,0,0,408.75,5.24,209,100970
20220115:2000,27.85,76.85,0,0,0,408.35,5.52,209,101070
20220115:2100,27.61,79.4,0,0,0,399.65,5.45,210,101100
20220115:2200,27.47,81.95,0,0,0,403.3,5.24,209,101150
20220115:2300,27.34,81.95,0,0,0,401.4,4.69,211,101120
20220116:0000,27.28,84.65,0,0,0,405.65,4.21,216,101160
20220116:0100,27.14,84.65,0,0,0,409.05,3.93,227,101080
20220116:0200,27.04,87.4,0,0,0,405.85,3.93,236,101070
20220116:0300,26.95,87.4,0,0,0,410.45,3.86,243,101050
20220116:0400,26.84,84.6,0,0,0,403.9,3.72,250,101090
20220116:0500,26.71,84.6,0,0,0,407.55,3.45,257,101110
20220116:0600,26.62,84.6,0,0,0,413.4,3.1,262,101180
20220116:0700,26.66,84.6,182.7,308.65,116,416.65,3.38,272,101210
20220116:0800,27.46,79.35,335.1,409.38,155.7,416.45,3.45,269,101280
20220116:0900,28.23,76.85,535.1,481.09,233.1,418.4,3.03,268,101370
20220116:1000,29.03,72.1,647.25,486.11,272.1,421.1,2.69,261,101360
20220116:1100,29.63,67.7,732.8,530.39,276.45,419.75,2.83,240,101320
20220116:1200,30.18,63.5,711.3,481.07,284.25,418.8,3.66,223,101220
20220116:1300,30.38,63.5,700.7,502.18,272.95,425,4.41,217,101110
20220116:1400,30.44,63.5,553.25,435.59,224.35,416.85,4.69,216,101010
20220116:1500,30.2,63.5,357.35,283.03,186.35,422.85,4.83,218,100940
20220116:1600,29.71,67.7,186.45,189.32,108.95,414.9,4.83,218,100920
20220116:1700,29.02,74.5,33,57.91,22.35,410.1,4.55,216,100940
20220116:1800,28.26,79.4,0,0,0,407.2,4.21,210,101020
20220116:1900,27.82,76.85,0,0,0,399.45,4.55,196,101140
20220116:2000,27.55,76.85,0,0,0,397.1,4.9,195,101180
